county,E2.13.4.3__BY_2019,E2.13.5.2__BY_2019,E2.13.6__BY_2019,E2.14.1__BY_2019,E2.14.4__BY_2019,E2.7.3__BY_2019,E2.7.4__BY_2019,v910-official__BY_2019
Davis County,2.59,2.59,2.56,2.73,2.61,2.67,2.67,2.7
Salt Lake County,4.41,4.35,4.52,4.36,4.3,4.41,4.35,4.34
Utah County,4.29,4.16,4.16,4.73,4.46,4.46,4.46,4.69
Weber County,3.66,3.66,3.7,3.88,3.77,3.77,3.76,3.86
