model_id,station,AccessMode,Brd_PA,Brd_Direct_PA,Brd_Transfer_PA,Source_Brd_PA,Source_Brd_Direct_PA,Source_Brd_Transfer_PA,Brd_PA_Perc,Brd_Direct_PA_Perc,Brd_Transfer_PA_Perc
OBS,01-OGDEN STATION,drive,1452.874,0.0,0.0,14955.118,0.0,0.0,0.09714894927609398,,
OBS,01-OGDEN STATION,walk,495.237,0.0,0.0,5672.892,0.0,0.0,0.08729885920620382,,
OBS,02-ROY STATION,drive,699.224,0.0,0.0,14955.118,0.0,0.0,0.0467548300187267,,
OBS,02-ROY STATION,walk,168.575,0.0,0.0,5672.892,0.0,0.0,0.029715883891320335,,
OBS,03-CLEARFIELD STATION,drive,745.345,0.0,0.0,14955.118,0.0,0.0,0.049838790974434305,,
OBS,03-CLEARFIELD STATION,walk,238.296,0.0,0.0,5672.892,0.0,0.0,0.04200608790013982,,
OBS,04-LAYTON STATION,drive,1113.116,0.0,0.0,14955.118,0.0,0.0,0.07443043913127265,,
OBS,04-LAYTON STATION,walk,384.134,0.0,0.0,5672.892,0.0,0.0,0.06771396317786413,,
OBS,05-FARMINGTON STATION,drive,385.481,0.0,0.0,14955.118,0.0,0.0,0.025775858137662304,,
OBS,05-FARMINGTON STATION,walk,120.055,0.0,0.0,5672.892,0.0,0.0,0.021162927127821227,,
OBS,06-WOODS CROSS STATION,drive,594.331,0.0,0.0,14955.118,0.0,0.0,0.039740976968553506,,
OBS,06-WOODS CROSS STATION,walk,173.169,0.0,0.0,5672.892,0.0,0.0,0.030525700119092697,,
OBS,07-NORTH TEMPLE STATION,drive,335.673,0.0,0.0,14955.118,0.0,0.0,0.022445359508363624,,
OBS,07-NORTH TEMPLE STATION,walk,661.147,0.0,0.0,5672.892,0.0,0.0,0.11654496507248861,,
OBS,08-SALT LAKE CENTRAL STATION,drive,367.738,0.0,0.0,14955.118,0.0,0.0,0.024589441554389607,,
OBS,08-SALT LAKE CENTRAL STATION,walk,529.444,0.0,0.0,5672.892,0.0,0.0,0.09332876423524368,,
OBS,09-MURRAY CENTRAL STATION,drive,1029.668,0.0,0.0,14955.118,0.0,0.0,0.06885054333907628,,
OBS,09-MURRAY CENTRAL STATION,walk,805.649,0.0,0.0,5672.892,0.0,0.0,0.14201733436843147,,
OBS,10-SOUTH JORDAN STATION,drive,985.477,0.0,0.0,14955.118,0.0,0.0,0.06589563519324956,,
OBS,10-SOUTH JORDAN STATION,walk,206.56,0.0,0.0,5672.892,0.0,0.0,0.03641176317123612,,
OBS,11-DRAPER STATION,drive,935.648,0.0,0.0,14955.118,0.0,0.0,0.0625637323623926,,
OBS,11-DRAPER STATION,walk,144.648,0.0,0.0,5672.892,0.0,0.0,0.025498105728083666,,
OBS,12-LEHI STATION,drive,1128.372,0.0,0.0,14955.118,0.0,0.0,0.07545055812999937,,
OBS,12-LEHI STATION,walk,292.189,0.0,0.0,5672.892,0.0,0.0,0.051506180621806306,,
OBS,13-AMERICAN FORK STATION,drive,1423.768,0.0,0.0,14955.118,0.0,0.0,0.09520272591630503,,
OBS,13-AMERICAN FORK STATION,walk,136.077,0.0,0.0,5672.892,0.0,0.0,0.023987236139873632,,
OBS,14-OREM CENTRAL STATION,drive,1475.024,0.0,0.0,14955.118,0.0,0.0,0.0986300475863848,,
OBS,14-OREM CENTRAL STATION,walk,371.804,0.0,0.0,5672.892,0.0,0.0,0.06554046860049513,,
OBS,15-PROVO CENTRAL STATION,drive,2283.379,0.0,0.0,14955.118,0.0,0.0,0.15268211190309564,,
OBS,15-PROVO CENTRAL STATION,walk,945.908,0.0,0.0,5672.892,0.0,0.0,0.16674176063989937,,
v910-official__BY_2019,01-OGDEN STATION,drive,573.84,573.65,0.19,12195.93,12194.51,1.42,0.04705176235022668,0.04704166055052642,0.13380281690140847
v910-official__BY_2019,02-ROY STATION,drive,1012.23,1012.19,0.04,12195.93,12194.51,1.42,0.08299736059488698,0.08300374512793052,0.028169014084507043
v910-official__BY_2019,03-CLEARFIELD STATION,drive,703.78,703.74,0.04,12195.93,12194.51,1.42,0.0577061363914027,0.05770957586651698,0.028169014084507043
v910-official__BY_2019,04-LAYTON STATION,drive,879.7,879.66,0.04,12195.93,12194.51,1.42,0.07213062062507739,0.07213573977142172,0.028169014084507043
v910-official__BY_2019,05-FARMINGTON STATION,drive,427.84,427.8,0.04,12195.93,12194.51,1.42,0.035080555562388434,0.035081360382664004,0.028169014084507043
v910-official__BY_2019,06-WOODS CROSS STATION,drive,948.15,948.18,-0.03,12195.93,12194.51,1.42,0.07774314873896455,0.07775466172892555,-0.02112676056338028
v910-official__BY_2019,07-NORTH TEMPLE STATION,drive,74.26,74.02,0.24,12195.93,12194.51,1.42,0.006088916548389504,0.006069944589819517,0.16901408450704225
v910-official__BY_2019,08-SALT LAKE CENTRAL STATION,drive,149.53,149.49,0.04,12195.93,12194.51,1.42,0.012260647609489394,0.012258795146340444,0.028169014084507043
v910-official__BY_2019,09-MURRAY CENTRAL STATION,drive,785.62,785.56,0.06,12195.93,12194.51,1.42,0.06441657175795532,0.0644191525530751,0.04225352112676056
v910-official__BY_2019,10-SOUTH JORDAN STATION,drive,1355.59,1355.64,-0.05,12195.93,12194.51,1.42,0.11115101513373724,0.11116805841317118,-0.035211267605633804
v910-official__BY_2019,11-DRAPER STATION,drive,1114.04,1114.12,-0.08,12195.93,12194.51,1.42,0.09134522746522815,0.09136242456646473,-0.056338028169014086
v910-official__BY_2019,12-LEHI STATION,drive,1309.31,1309.25,0.06,12195.93,12194.51,1.42,0.10735630657112659,0.10736388751987574,0.04225352112676056
v910-official__BY_2019,13-AMERICAN FORK STATION,drive,1522.56,1522.39,0.17,12195.93,12194.51,1.42,0.12484164799240402,0.12484224458383322,0.11971830985915495
