model_id,station,AccessMode,Brd_PA,Dist_15,Dist_Med,Dist_85,Dist_Avg,Notes
OBS,08-SALT LAKE CENTRAL STATION,All,892.462,0.180834746,1.263300952,3.25,1.6663394593895884,"Boardings represent all boardings, not just direct to CRT."
OBS,09-MURRAY CENTRAL STATION,All,1822.3010000000022,0.396391106,1.72,6.28,3.238846360141962,"Boardings represent all boardings, not just direct to CRT."
OBS,10-SOUTH JORDAN STATION,All,1177.5229999999997,0.973882016,4.15,6.04,3.9106746914714345,"Boardings represent all boardings, not just direct to CRT."
OBS,11-DRAPER STATION,All,1080.2959999999998,1.673297632,4.19,7.98,4.539218164512084,"Boardings represent all boardings, not just direct to CRT."
OBS,12-LEHI STATION,All,1420.560999999998,0.81,3.341861422,7.37,4.472187373550471,"Boardings represent all boardings, not just direct to CRT."
OBS,13-AMERICAN FORK STATION,All,1546.67,1.62,3.500856491,9.17,5.001176067663794,"Boardings represent all boardings, not just direct to CRT."
OBS,14-OREM CENTRAL STATION,All,1820.68,0.468708099,2.509973889,4.7,2.7410291976548256,"Boardings represent all boardings, not just direct to CRT."
OBS,15-PROVO CENTRAL STATION,All,3206.322000000006,0.373422206,1.81,8.36,3.4938592302607328,"Boardings represent all boardings, not just direct to CRT."
v910-official__BY_2019,01-OGDEN STATION,walk,73.18,0.28,0.44,0.83,0.46979365946980045,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,02-ROY STATION,walk,368.09,0.37,0.45,0.68,0.5218780732972915,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,03-CLEARFIELD STATION,walk,474.87,0.29,0.63,0.64,0.5242571651188745,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,04-LAYTON STATION,walk,128.15,0.17,0.17,0.66,0.30406320717908697,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,05-FARMINGTON STATION,walk,119.91000000000001,0.17,0.17,0.82,0.300854807772496,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,06-WOODS CROSS STATION,walk,312.00000000000006,0.22,0.22,0.57,0.3307064102564102,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,07-NORTH TEMPLE STATION,walk,643.44,0.17,0.22,0.56,0.301452505284098,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,08-SALT LAKE CENTRAL STATION,walk,76.29,0.12,0.12,0.22,0.180263468344475,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,09-MURRAY CENTRAL STATION,walk,541.25,0.33,0.45,0.75,0.5210268822170901,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,10-SOUTH JORDAN STATION,walk,256.56,0.35,0.67,0.67,0.5278967882756471,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,11-DRAPER STATION,walk,151.98,0.4,0.41,0.47,0.4371976575865245,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,12-LEHI STATION,walk,221.75,0.25,0.58,0.66,0.47413799323562567,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,13-AMERICAN FORK STATION,walk,82.07,0.42,0.42,0.77,0.5587681247715366,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,14-OREM CENTRAL STATION,walk,462.68000000000006,0.08,0.08,0.58,0.25667459151033106,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,15-PROVO CENTRAL STATION,walk,422.37000000000006,0.24,0.56,0.56,0.4255328266685607,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,01-OGDEN STATION,drive,573.65,1.86,3.63,6.0,4.108946047241349,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,02-ROY STATION,drive,1012.19,2.15,3.89,11.32,6.269984192691096,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,03-CLEARFIELD STATION,drive,703.74,1.24,2.99,4.87,3.1542843948049,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,04-LAYTON STATION,drive,879.66,1.41,2.53,4.28,2.8131882772889525,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,05-FARMINGTON STATION,drive,427.79999999999995,1.72,2.91,4.47,3.0896332398316972,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,06-WOODS CROSS STATION,drive,948.18,1.61,2.73,3.87,2.7990774958341245,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,07-NORTH TEMPLE STATION,drive,74.02,1.55,2.8,5.82,3.50136719805458,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,08-SALT LAKE CENTRAL STATION,drive,149.49,1.58,3.44,9.36,5.069294936116128,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,09-MURRAY CENTRAL STATION,drive,785.5600000000001,2.42,4.58,7.66,5.049648149091094,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,10-SOUTH JORDAN STATION,drive,1355.64,2.16,3.74,6.05,4.165752633442506,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,11-DRAPER STATION,drive,1114.12,2.83,5.35,8.64,5.6213543424406724,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,12-LEHI STATION,drive,1309.25,2.57,5.58,9.98,6.315867863280504,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,13-AMERICAN FORK STATION,drive,1522.3899999999999,2.12,4.16,8.16,4.988550962631127,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,14-OREM CENTRAL STATION,drive,1126.86,2.5,5.26,20.38,9.7593863479048,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,15-PROVO CENTRAL STATION,drive,211.95999999999998,1.04,1.8,3.2,2.596192677863748,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,01-OGDEN STATION,All,73.18,0.28,0.44,0.83,0.46979365946980045,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,02-ROY STATION,All,368.09,0.37,0.45,0.68,0.5218780732972915,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,03-CLEARFIELD STATION,All,474.87,0.29,0.63,0.64,0.5242571651188745,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,04-LAYTON STATION,All,128.15,0.17,0.17,0.66,0.30406320717908697,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,05-FARMINGTON STATION,All,119.91000000000001,0.17,0.17,0.82,0.300854807772496,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,06-WOODS CROSS STATION,All,312.00000000000006,0.22,0.22,0.57,0.3307064102564102,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,07-NORTH TEMPLE STATION,All,643.44,0.17,0.22,0.56,0.301452505284098,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,08-SALT LAKE CENTRAL STATION,All,76.29,0.12,0.12,0.22,0.180263468344475,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,09-MURRAY CENTRAL STATION,All,541.25,0.33,0.45,0.75,0.5210268822170901,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,10-SOUTH JORDAN STATION,All,256.56,0.35,0.67,0.67,0.5278967882756471,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,11-DRAPER STATION,All,151.98,0.4,0.41,0.47,0.4371976575865245,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,12-LEHI STATION,All,221.75,0.25,0.58,0.66,0.47413799323562567,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,13-AMERICAN FORK STATION,All,82.07,0.42,0.42,0.77,0.5587681247715366,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,14-OREM CENTRAL STATION,All,462.68000000000006,0.08,0.08,0.58,0.25667459151033106,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,15-PROVO CENTRAL STATION,All,422.37000000000006,0.24,0.56,0.56,0.4255328266685607,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,01-OGDEN STATION,All,573.65,1.86,3.63,6.0,4.108946047241349,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,02-ROY STATION,All,1012.19,2.15,3.89,11.32,6.269984192691096,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,03-CLEARFIELD STATION,All,703.74,1.24,2.99,4.87,3.1542843948049,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,04-LAYTON STATION,All,879.66,1.41,2.53,4.28,2.8131882772889525,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,05-FARMINGTON STATION,All,427.79999999999995,1.72,2.91,4.47,3.0896332398316972,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,06-WOODS CROSS STATION,All,948.18,1.61,2.73,3.87,2.7990774958341245,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,07-NORTH TEMPLE STATION,All,74.02,1.55,2.8,5.82,3.50136719805458,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,08-SALT LAKE CENTRAL STATION,All,149.49,1.58,3.44,9.36,5.069294936116128,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,09-MURRAY CENTRAL STATION,All,785.5600000000001,2.42,4.58,7.66,5.049648149091094,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,10-SOUTH JORDAN STATION,All,1355.64,2.16,3.74,6.05,4.165752633442506,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,11-DRAPER STATION,All,1114.12,2.83,5.35,8.64,5.6213543424406724,Boardings represent only direct boardings to CRT.
v910-official__BY_2019,12-LEHI STATION,All,1309.25,2.57,5.58,9.98,6.315867863280504,Boardings represent only direct boardings to CRT.
