cr_travel_distance,STATION_ID_1,STATION_ID_2,,,,,,,,,,,,,,
4.32,01-Ogden,02-Roy,4.32,,,,,,,,,,,,,
,,,30.250,--,,,,,,,,,,,,
,,,30.300,--,,,,,,,,,,,,
,,,31.090,--,,,,,,,,,,,,
,,,31.580,--,,,,,,,,,,,,
,,,32.000,--,,,,,,,,,,,,
,,,32.790,--,,,,,,,,,,,,
,,,33.030,--,,,,,,,,,,,,
,,,33.310,--,,,,,,,,,,,,
,,,33.490,--,,,,,,,,,,,,
,,,36.130,--,,,,,,,,,,,,
,,,36.320,--,,,,,,,,,,,,
,,,36.820,--,,,,,,,,,,,,
,,,37.110,--,,,,,,,,,,,,
,,,38.740,--,,,,,,,,,,,,
,,,38.990,--,,,,,,,,,,,,
,,,39.370,--,,,,,,,,,,,,
,,,39.530,--,,,,,,,,,,,,
,,,39.810,--,,,,,,,,,,,,
,,,39.950,--,,,,,,,,,,,,
,,,40.930,--,,,,,,,,,,,,
,,,43.050,--,,,,,,,,,,,,
,,,43.980,--,,,,,,,,,,,,
,,,44.270,--,,,,,,,,,,,,
,,,44.770,--,,,,,,,,,,,,
,,,46.610,--,,,,,,,,,,,,
,,,46.730,--,,,,,,,,,,,,
,,,46.810,--,,,,,,,,,,,,
,,,47.430,--,,,,,,,,,,,,
,,,49.970,--,,,,,,,,,,,,
,,,50.490,--,,,,,,,,,,,,
,,,51.050,--,,,,,,,,,,,,
,,,52.490,--,,,,,,,,,,,,
,,,52.670,--,,,,,,,,,,,,
,,,54.290,--,,,,,,,,,,,,
,,,55.050,--,,,,,,,,,,,,
,,,56.170,--,,,,,,,,,,,,
,,,57.410,--,,,,,,,,,,,,
,,,60.290,--,,,,,,,,,,,,
,,,60.930,--,,,,,,,,,,,,
,,,61.730,--,,,,,,,,,,,,
,,,63.090,--,,,,,,,,,,,,
,,,64.610,--,,,,,,,,,,,,
,,,66.170,--,,,,,,,,,,,,
,,,67.410,--,,,,,,,,,,,,
,,,69.850,--,,,,,,,,,,,,
,,,71.530,--,,,,,,,,,,,,
,,,75.850,--,,,,,,,,,,,,
,,,76.770,--,,,,,,,,,,,,
,,,81.090,--,,,,,,,,,,,,
