STATION_ID_1,STATION_ID_2,HBC_PK_Drive,HBO_OK_Drive,HBO_PK_Drive,HBSch_OK_Drive,HBSch_PK_Drive,HBW_OK_Drive,HBW_PK_Drive,NHB_OK_Drive,NHB_PK_Drive
02-Roy,07-North Temple,39.65,30.79,60.59,0.0,5.24,58.74,94.06,0.0,0.0
02-Roy,08-Salt Lake Central,39.0,5.97,1.17,0.0,5.24,27.58,51.6,0.0,0.0
02-Roy,09-Murray Central,4.06,6.86,0.0,0.0,5.24,49.87,14.96,2.24,0.0
02-Roy,10-South Jordan,0.0,0.0,0.0,0.0,13.78,5.35,31.58,2.68,0.0
02-Roy,11-Draper,0.0,0.0,0.0,0.0,0.0,3.31,9.67,0.0,0.0
02-Roy,12-Lehi,0.0,3.31,13.78,0.0,0.0,0.0,0.0,0.0,0.0
02-Roy,13-American Fork,0.0,0.0,7.71,0.0,0.0,0.0,10.39,0.0,0.0
02-Roy,14-Orem Central,1.97,0.0,0.0,0.0,0.0,2.04,0.0,0.0,0.0
02-Roy,15-Provo Central,2.6,0.0,0.0,0.0,0.0,1.02,5.19,0.0,0.0
03-Clearfield,04-Layton,1.23,0.0,0.0,0.0,0.0,0.0,17.9,8.93,0.0
03-Clearfield,05-Farmington,0.0,0.0,7.22,0.0,0.0,0.0,7.22,0.0,0.0
03-Clearfield,06-Woods Cross,16.34,0.0,29.43,0.0,43.13,0.0,0.0,8.82,0.0
03-Clearfield,07-North Temple,21.6,37.65,15.24,0.72,0.0,53.81,184.99,2.1,0.0
03-Clearfield,08-Salt Lake Central,68.59,10.56,0.0,0.0,0.0,27.92,83.92,0.88,0.0
03-Clearfield,09-Murray Central,13.73,2.24,0.0,2.24,5.24,15.76,65.17,0.0,12.67
03-Clearfield,10-South Jordan,0.0,0.0,0.0,0.0,0.0,7.37,19.91,0.0,0.0
03-Clearfield,11-Draper,0.0,0.0,0.0,0.0,0.0,6.56,23.84,0.0,0.0
03-Clearfield,12-Lehi,0.0,3.31,0.0,0.0,0.0,0.0,4.94,0.0,0.0
03-Clearfield,13-American Fork,0.0,2.62,0.0,0.0,0.0,2.28,0.94,2.11,3.93
03-Clearfield,14-Orem Central,14.74,2.11,0.0,0.0,0.0,0.0,39.01,0.0,5.19
03-Clearfield,15-Provo Central,64.52,0.0,12.9,0.0,0.0,1.75,7.08,1.75,0.0
04-Layton,05-Farmington,0.0,30.12,0.0,0.0,0.0,0.0,5.32,0.0,0.0
04-Layton,06-Woods Cross,0.0,0.0,8.4,0.0,13.44,15.74,4.48,0.0,0.0
04-Layton,07-North Temple,100.35,44.18,32.86,8.42,0.0,32.32,224.74,4.18,16.57
04-Layton,08-Salt Lake Central,36.94,0.0,37.58,0.0,0.0,47.13,74.16,0.0,0.0
04-Layton,09-Murray Central,11.92,3.96,16.57,2.81,0.0,36.26,39.62,0.0,0.0
04-Layton,10-South Jordan,0.0,13.83,22.97,0.0,0.0,11.05,9.51,0.0,0.0
04-Layton,11-Draper,0.0,2.76,0.0,0.0,0.0,14.11,25.82,0.0,0.0
04-Layton,12-Lehi,0.0,0.0,0.0,0.0,0.0,15.07,27.79,0.0,0.0
04-Layton,13-American Fork,0.0,7.6,0.0,0.0,0.0,0.0,9.57,0.0,0.0
04-Layton,14-Orem Central,4.62,0.0,0.0,0.0,0.0,0.0,6.79,0.0,0.0
04-Layton,15-Provo Central,4.66,18.41,15.99,0.0,0.0,7.2,0.0,0.0,0.0
05-Farmington,07-North Temple,13.45,10.22,15.36,0.0,0.0,10.15,109.04,0.0,20.48
