Purpose,Period,AccessMode,SegID,LinkID,Direction,N,Mode,Name,LongName,RouteDir,Headway,Board,Board_FromSkim_LCL,Board_FromSkim_COR,Board_FromSkim_BRT,Board_FromSkim_EXP,Board_FromSkim_LRT,Board_FromSkim_CRT,Alight,Alight_FromSkim_LCL,Alight_FromSkim_COR,Alight_FromSkim_BRT,Alight_FromSkim_EXP,Alight_FromSkim_LRT,Alight_FromSkim_CRT
All,ok,drive,UTA_1003,10025_26470,SB,  10025.00,      4.00,FD605,FD605,      1.00,     30.00,      7.78,      0.27,         0,         0,         0,         0,      7.51,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0068_069.2,26522_26531,EB,  26522.00,      4.00,FD605,FD605,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      2.91,         0,         0,         0,         0,         0,      2.91
All,ok,drive,0068_069.2,26531_26542,EB,  26531.00,      4.00,FD605,FD605,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,1420_000.0,26542_26553,EB,  26542.00,      4.00,FD605,FD605,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      1.16,      0.01,         0,         0,         0,         0,      1.15
All,ok,drive,1420_000.3,26558_26568,EB,  26558.00,      4.00,FD605,FD605,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.53,      0.09,         0,         0,         0,         0,      0.44
All,ok,drive,1420_000.7,26574_26593,EB,  26574.00,      4.00,FD605,FD605,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.74,         0,         0,         0,         0,         0,      0.74
All,ok,drive,1420_000.7,26593_26574,WB,  26593.00,      4.00,FD605,FD605,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.17,      0.05,         0,         0,         0,         0,      0.12
All,ok,drive,1420_000.3,26574_26568,WB,  26574.00,      4.00,FD605,FD605,      1.00,     30.00,      0.06,      0.06,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,1420_000.0,26558_26553,WB,  26558.00,      4.00,FD605,FD605,      1.00,     30.00,      1.05,      1.05,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0068_069.2,26542_26531,WB,  26542.00,      4.00,FD605,FD605,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.02,      0.02,         0,         0,         0,         0,         0
All,ok,drive,0089_388.4,26522_26532,NB,  26522.00,      4.00,FD605,FD605,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.03,      0.03,         0,         0,         0,         0,         0
All,ok,drive,0089_388.4,26543_26564,NB,  26543.00,      4.00,FD605,FD605,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,1422_000.7,26604_26619,NB,  26604.00,      4.00,FD605,FD605,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      1.20,      0.11,         0,         0,         0,         0,      1.09
All,ok,drive,1424_000.0,26629_26636,EB,  26629.00,      4.00,FD605,FD605,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.10,      0.05,         0,         0,         0,         0,      0.05
All,ok,drive,1424_000.0,26636_26646,EB,  26636.00,      4.00,FD605,FD605,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.03,         0,         0,         0,         0,         0,      0.03
All,ok,drive,0106_002.0,26646_26662,NB,  26646.00,      4.00,FD605,FD605,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.03,      0.03,         0,         0,         0,         0,         0
All,ok,drive,0106_002.0,26662_26679,NB,  26662.00,      4.00,FD605,FD605,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.04,      0.01,         0,         0,         0,         0,      0.03
All,ok,drive,1436_000.0,26679_26666,WB,  26679.00,      4.00,FD605,FD605,      1.00,     30.00,      0.02,      0.02,         0,         0,         0,         0,         0,      0.26,      0.22,         0,         0,         0,         0,      0.04
All,ok,drive,1436_000.0,26666_26653,WB,  26666.00,      4.00,FD605,FD605,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.20,         0,         0,         0,         0,         0,      0.20
All,ok,drive,1422_002.0,26676_26706,NB,  26676.00,      4.00,FD605,FD605,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      1.03,      0.48,         0,         0,         0,         0,      0.55
All,ok,drive,0105_000.7,26706_26688,WB,  26706.00,      4.00,FD605,FD605,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.13,      0.09,         0,         0,         0,         0,      0.04
All,ok,drive,0105_000.2,26670_26652,WB,  26652.00,      4.00,FD605,FD605,      1.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.32,      0.19,         0,         0,         0,         0,      0.13
All,ok,drive,1420_000.3,26574_26568,WB,  26574.00,      4.00,FD605,FD605,      2.00,     30.00,      0.05,      0.05,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,1420_000.0,26558_26553,WB,  26558.00,      4.00,FD605,FD605,      2.00,     30.00,      0.02,      0.02,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
All,ok,drive,0068_069.2,26542_26531,WB,  26542.00,      4.00,FD605,FD605,      2.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.02,      0.02,         0,         0,         0,         0,         0
All,ok,drive,0068_069.0,26522_26517,WB,  26522.00,      4.00,FD605,FD605,      2.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.03,      0.03,         0,         0,         0,         0,         0
All,ok,drive,1418_001.4,26496_26494,SB,  26496.00,      4.00,FD605,FD605,      2.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,UTA_1003,26470_10025,NB,  10025.00,      4.00,FD605,FD605,      2.00,     30.00,         0,         0,         0,         0,         0,         0,         0,      0.01,      0.01,         0,         0,         0,         0,         0
All,ok,drive,UTA_0990,50024_66841,SB,  50024.00,      4.00,M805_Santaquin,M805_Santaquin,      1.00,     60.00,      1.01,      0.06,         0,      0.09,         0,         0,      0.86,         0,         0,         0,         0,         0,         0,         0
