,Source,station,AccessMode,Brd_PA,Brd_Direct_PA,Brd_Transfer_PA,Alt_PA,Alt_Direct_PA,Alt_Transfer_PA
0,OBS,01-PROVO CENTRAL STATION,drive,2283.379,,,1516.14,,
1,OBS,01-PROVO CENTRAL STATION,walk,945.908,,,461.403,,
2,OBS,02-OREM CENTRAL STATION,drive,1475.024,,,1250.758,,
3,OBS,02-OREM CENTRAL STATION,walk,371.80400000000003,,,517.147,,
4,OBS,03-AMERICAN FORK STATION,drive,1423.768,,,196.438,,
5,OBS,03-AMERICAN FORK STATION,walk,136.077,,,42.695,,
6,OBS,04-LEHI STATION,drive,1128.372,,,840.776,,
7,OBS,04-LEHI STATION,walk,292.189,,,601.633,,
8,OBS,05-DRAPER STATION,drive,935.648,,,632.764,,
9,OBS,05-DRAPER STATION,walk,144.648,,,406.431,,
10,OBS,06-SOUTH JORDAN STATION,drive,985.477,,,585.873,,
11,OBS,06-SOUTH JORDAN STATION,walk,206.56,,,413.132,,
12,OBS,07-MURRAY CENTRAL STATION,drive,1029.6680000000001,,,1634.276,,
13,OBS,07-MURRAY CENTRAL STATION,walk,805.649,,,483.486,,
14,OBS,08-SALT LAKE CENTRAL STATION,drive,367.738,,,2121.864,,
15,OBS,08-SALT LAKE CENTRAL STATION,walk,529.444,,,607.543,,
16,OBS,09-NORTH TEMPLE STATION,drive,335.673,,,4452.302,,
17,OBS,09-NORTH TEMPLE STATION,walk,661.147,,,1069.411,,
18,OBS,10-WOODS CROSS STATION,drive,594.331,,,241.299,,
19,OBS,10-WOODS CROSS STATION,walk,173.169,,,115.237,,
20,OBS,11-FARMINGTON STATION,drive,385.481,,,217.308,,
21,OBS,11-FARMINGTON STATION,walk,120.055,,,175.79500000000002,,
22,OBS,12-LAYTON STATION,drive,1113.116,,,187.285,,
23,OBS,12-LAYTON STATION,walk,384.134,,,144.004,,
24,OBS,13-CLEARFIELD STATION,drive,745.345,,,359.91,,
25,OBS,13-CLEARFIELD STATION,walk,238.296,,,143.831,,
26,OBS,14-ROY STATION,drive,699.224,,,87.846,,
27,OBS,14-ROY STATION,walk,168.575,,,75.079,,
28,OBS,15-OGDEN STATION,drive,1452.874,,,630.279,,
29,OBS,15-OGDEN STATION,walk,495.237,,,416.065,,
30,TDM,01-PROVO CENTRAL STATION,drive,211.96,211.42000000000002,0.5399999999999991,526.81,75.4,451.40999999999997
31,TDM,02-OREM CENTRAL STATION,drive,1121.42,1121.2,0.22000000000002728,1617.79,87.38,1530.4099999999999
32,TDM,03-AMERICAN FORK STATION,drive,1518.54,1518.51,0.03000000000002956,8.14,2.4699999999999998,5.67
33,TDM,04-LEHI STATION,drive,1304.19,1304.08,0.11000000000001364,240.02,158.5,81.52000000000001
34,TDM,05-DRAPER STATION,drive,1109.81,1109.74,0.06999999999993634,105.44,100.32,5.1200000000000045
35,TDM,06-SOUTH JORDAN STATION,drive,1353.0700000000002,1353.08,-0.009999999999934062,109.6,65.27,44.33
36,TDM,07-MURRAY CENTRAL STATION,drive,786.39,786.3399999999999,0.05000000000003979,2564.75,245.28999999999996,2319.46
37,TDM,08-SALT LAKE CENTRAL STATION,drive,149.31,149.3,0.009999999999990905,2483.7099999999996,373.40000000000003,2110.31
38,TDM,09-NORTH TEMPLE STATION,drive,74.4,74.25,0.15000000000000213,3226.87,1355.11,1871.7600000000002
39,TDM,10-WOODS CROSS STATION,drive,948.0800000000002,948.0699999999999,0.010000000000104592,90.38999999999999,29.14,61.25
40,TDM,11-FARMINGTON STATION,drive,426.77,426.73,0.04000000000000625,534.62,106.99000000000001,427.63
41,TDM,12-LAYTON STATION,drive,877.27,877.23,0.03999999999999204,43.05,7.050000000000001,36.0
42,TDM,13-CLEARFIELD STATION,drive,701.3100000000001,701.32,-0.009999999999990905,118.22,52.21,66.00999999999999
43,TDM,14-ROY STATION,drive,1009.26,1009.18,0.0800000000000125,12.6,10.240000000000002,2.3599999999999985
44,TDM,15-OGDEN STATION,drive,567.84,567.73,0.11000000000001364,477.63,111.22,366.40999999999997
45,TDM,01-PROVO CENTRAL STATION,walk,1214.8899999999999,159.2,1055.69,188.94,37.18,151.76
46,TDM,02-OREM CENTRAL STATION,walk,232.45999999999998,130.72,101.74,482.17,75.58,406.59000000000003
47,TDM,03-AMERICAN FORK STATION,walk,80.6,80.6,0.0,13.3,3.25,10.05
48,TDM,04-LEHI STATION,walk,346.14,209.31,136.83000000000004,173.9,95.06,78.84
49,TDM,05-DRAPER STATION,walk,178.98000000000002,149.63,29.35000000000001,121.42,115.77000000000001,5.649999999999999
50,TDM,06-SOUTH JORDAN STATION,walk,318.14,256.61,61.52999999999996,126.38000000000001,71.88,54.50000000000001
51,TDM,07-MURRAY CENTRAL STATION,walk,695.62,132.20999999999998,563.41,1296.35,151.57,1144.7799999999997
52,TDM,08-SALT LAKE CENTRAL STATION,walk,597.45,10.87,586.58,942.3699999999999,143.15,799.2199999999999
53,TDM,09-NORTH TEMPLE STATION,walk,229.97,174.57999999999998,55.39,1665.0300000000002,528.03,1137.0
54,TDM,10-WOODS CROSS STATION,walk,384.88,296.84000000000003,88.03999999999999,135.77,33.45,102.32000000000001
55,TDM,11-FARMINGTON STATION,walk,154.34,112.62,41.720000000000006,650.28,121.00999999999999,529.27
56,TDM,12-LAYTON STATION,walk,324.8,127.44,197.36,70.34,8.01,62.33
57,TDM,13-CLEARFIELD STATION,walk,558.67,453.69,104.97999999999996,167.98000000000002,72.56,95.42
58,TDM,14-ROY STATION,walk,399.36,360.53,38.83000000000001,24.88,19.02,5.8599999999999985
59,TDM,15-OGDEN STATION,walk,699.36,53.13000000000001,646.23,356.51,120.35999999999999,236.15
