id,PA_AP,Purp7_text,AccessMode,Eg_Mode_Model,unlinked_weight_adj,onoff,station
11339.0,PA,HBOth,walk,Walk,18.228,on,01-PROVO CENTRAL STATION
11980.0,PA,HBC,walk,Walk,13.903,on,01-PROVO CENTRAL STATION
12004.0,PA,HBW,drive,Walk,36.765,on,01-PROVO CENTRAL STATION
12016.0,PA,HBW,drive,Walk,13.903,on,01-PROVO CENTRAL STATION
12027.0,PA,HBOth,drive,Walk,3.77,on,01-PROVO CENTRAL STATION
12111.0,PA,HBC,drive,Walk,7.313,off,01-PROVO CENTRAL STATION
12122.0,PA,HBW,walk,Walk,19.557,on,01-PROVO CENTRAL STATION
12134.0,PA,NHBW,walk,Walk,14.514,off,01-PROVO CENTRAL STATION
12141.0,PA,HBC,drive,Drive,6.409,off,01-PROVO CENTRAL STATION
12156.0,PA,HBW,walk,Walk,14.514,on,01-PROVO CENTRAL STATION
12204.0,PA,HBW,drive,Walk,7.313,on,01-PROVO CENTRAL STATION
12243.0,PA,HBW,drive,Walk,14.273,on,01-PROVO CENTRAL STATION
12252.0,PA,HBC,drive,Walk,19.557,off,01-PROVO CENTRAL STATION
12255.0,PA,HBC,drive,Walk,10.012,off,01-PROVO CENTRAL STATION
12270.0,PA,HBC,drive,Walk,10.012,off,01-PROVO CENTRAL STATION
12277.0,PA,HBC,drive,Walk,10.012,off,01-PROVO CENTRAL STATION
12282.0,PA,HBC,drive,Walk,14.971,off,01-PROVO CENTRAL STATION
12287.0,PA,NHBNW,walk,Walk,14.971,on,01-PROVO CENTRAL STATION
12423.0,PA,HBC,drive,Walk,11.164,on,01-PROVO CENTRAL STATION
12445.0,PA,HBShp,drive,Walk,18.228,on,01-PROVO CENTRAL STATION
12461.0,PA,HBOth,drive,Drive,18.228,on,01-PROVO CENTRAL STATION
12471.0,PA,HBW,drive,Walk,18.228,on,01-PROVO CENTRAL STATION
12480.0,PA,HBC,walk,Walk,11.164,on,01-PROVO CENTRAL STATION
12485.0,PA,HBC,drive,Walk,7.671,off,01-PROVO CENTRAL STATION
12500.0,PA,HBOth,walk,Walk,8.842,on,01-PROVO CENTRAL STATION
12505.0,PA,HBW,drive,Drive,8.842,off,01-PROVO CENTRAL STATION
12513.0,PA,HBOth,drive,Drive,2.036,off,01-PROVO CENTRAL STATION
12520.0,PA,HBW,walk,Walk,7.671,on,01-PROVO CENTRAL STATION
12536.0,PA,HBW,walk,Walk,7.578,off,01-PROVO CENTRAL STATION
12541.0,PA,HBOth,drive,Drive,7.578,on,01-PROVO CENTRAL STATION
12550.0,PA,HBW,drive,Walk,7.578,off,01-PROVO CENTRAL STATION
12556.0,PA,HBW,drive,Walk,10.902,off,01-PROVO CENTRAL STATION
12559.0,PA,HBW,drive,Walk,5.194,off,01-PROVO CENTRAL STATION
12621.0,PA,HBW,drive,Walk,13.903,on,01-PROVO CENTRAL STATION
12643.0,PA,HBW,drive,Walk,36.765,on,01-PROVO CENTRAL STATION
12645.0,PA,HBW,drive,Walk,36.765,on,01-PROVO CENTRAL STATION
12652.0,PA,HBOth,drive,Drive,13.903,on,01-PROVO CENTRAL STATION
12655.0,PA,HBOth,drive,Walk,13.903,on,01-PROVO CENTRAL STATION
12679.0,PA,HBOth,drive,Walk,13.903,on,01-PROVO CENTRAL STATION
12715.0,PA,HBW,walk,Drive,1.886,on,01-PROVO CENTRAL STATION
12819.0,PA,HBC,drive,Walk,6.409,on,01-PROVO CENTRAL STATION
12867.0,PA,HBC,drive,Walk,14.514,off,01-PROVO CENTRAL STATION
12872.0,PA,HBOth,drive,Drive,6.409,on,01-PROVO CENTRAL STATION
12926.0,PA,HBW,drive,Drive,7.313,on,01-PROVO CENTRAL STATION
12933.0,PA,HBC,drive,Walk,7.313,on,01-PROVO CENTRAL STATION
12935.0,PA,NHBW,drive,Drive,7.313,off,01-PROVO CENTRAL STATION
12944.0,PA,HBC,drive,Walk,7.313,on,01-PROVO CENTRAL STATION
12957.0,PA,HBW,walk,Walk,14.273,on,01-PROVO CENTRAL STATION
12969.0,PA,HBC,drive,Walk,7.313,on,01-PROVO CENTRAL STATION
13007.0,PA,HBOth,drive,Drive,7.313,on,01-PROVO CENTRAL STATION
13024.0,PA,NHBNW,drive,Walk,14.971,on,01-PROVO CENTRAL STATION
13036.0,PA,HBW,drive,Drive,14.273,off,01-PROVO CENTRAL STATION
13046.0,PA,HBC,drive,Walk,10.012,off,01-PROVO CENTRAL STATION
13084.0,PA,HBW,drive,Walk,10.012,off,01-PROVO CENTRAL STATION
13085.0,PA,HBC,walk,Walk,14.971,on,01-PROVO CENTRAL STATION
13142.0,PA,HBC,walk,Walk,5.799,off,01-PROVO CENTRAL STATION
13226.0,PA,HBW,drive,Walk,1.749,on,01-PROVO CENTRAL STATION
13244.0,PA,HBW,drive,Drive,18.228,on,01-PROVO CENTRAL STATION
13274.0,PA,HBOth,walk,Walk,11.164,on,01-PROVO CENTRAL STATION
13278.0,PA,HBOth,drive,Drive,11.528,on,01-PROVO CENTRAL STATION
13284.0,PA,HBW,drive,Walk,11.164,on,01-PROVO CENTRAL STATION
13294.0,PA,HBC,walk,Walk,11.164,on,01-PROVO CENTRAL STATION
13299.0,PA,HBC,walk,Walk,18.228,on,01-PROVO CENTRAL STATION
13303.0,PA,HBC,walk,Drive,7.671,off,01-PROVO CENTRAL STATION
13309.0,PA,HBC,walk,Walk,18.228,on,01-PROVO CENTRAL STATION
13323.0,PA,HBOth,walk,Walk,8.842,off,01-PROVO CENTRAL STATION
13331.0,PA,HBC,walk,Walk,7.671,off,01-PROVO CENTRAL STATION
13543.0,PA,HBC,drive,Walk,6.409,on,01-PROVO CENTRAL STATION
14097.0,PA,HBOth,walk,Walk,1.749,on,01-PROVO CENTRAL STATION
14202.0,PA,HBW,drive,Walk,36.765,on,01-PROVO CENTRAL STATION
14218.0,PA,HBW,drive,Walk,36.765,on,01-PROVO CENTRAL STATION
14237.0,PA,HBW,walk,Walk,13.903,on,01-PROVO CENTRAL STATION
14275.0,PA,HBOth,drive,Drive,5.194,off,01-PROVO CENTRAL STATION
14296.0,PA,HBC,drive,Walk,7.313,off,01-PROVO CENTRAL STATION
14307.0,PA,HBC,drive,Walk,14.273,off,01-PROVO CENTRAL STATION
14428.0,PA,HBOth,drive,Drive,4.073,on,01-PROVO CENTRAL STATION
14494.0,PA,HBW,drive,Drive,2.111,on,01-PROVO CENTRAL STATION
14534.0,PA,HBW,walk,Walk,11.164,on,01-PROVO CENTRAL STATION
14556.0,PA,HBW,drive,Drive,12.048,on,01-PROVO CENTRAL STATION
14567.0,PA,HBW,drive,Drive,42.962,off,01-PROVO CENTRAL STATION
14587.0,PA,HBW,drive,Drive,42.962,off,01-PROVO CENTRAL STATION
14761.0,PA,HBW,drive,Walk,7.578,off,01-PROVO CENTRAL STATION
14762.0,PA,HBC,drive,Drive,7.578,off,01-PROVO CENTRAL STATION
14763.0,PA,HBW,drive,Walk,10.902,off,01-PROVO CENTRAL STATION
14768.0,PA,HBC,walk,Walk,10.902,off,01-PROVO CENTRAL STATION
14793.0,PA,HBW,drive,Drive,10.902,off,01-PROVO CENTRAL STATION
14796.0,PA,HBC,drive,Walk,10.902,off,01-PROVO CENTRAL STATION
14931.0,PA,HBC,drive,Walk,13.903,on,01-PROVO CENTRAL STATION
14957.0,PA,HBC,walk,Walk,13.903,on,01-PROVO CENTRAL STATION
15091.0,PA,HBW,drive,Walk,7.313,off,01-PROVO CENTRAL STATION
15095.0,PA,HBW,drive,Walk,6.409,on,01-PROVO CENTRAL STATION
15101.0,PA,HBOth,walk,Walk,6.409,on,01-PROVO CENTRAL STATION
15107.0,PA,HBOth,walk,Walk,6.409,on,01-PROVO CENTRAL STATION
15111.0,PA,HBW,drive,Walk,6.409,on,01-PROVO CENTRAL STATION
15117.0,PA,HBC,drive,Drive,19.557,on,01-PROVO CENTRAL STATION
15122.0,PA,HBC,drive,Walk,27.181,off,01-PROVO CENTRAL STATION
15169.0,PA,HBC,drive,Walk,4.073,off,01-PROVO CENTRAL STATION
15243.0,PA,HBW,drive,Walk,7.704,on,01-PROVO CENTRAL STATION
15268.0,PA,HBC,drive,Walk,42.962,off,01-PROVO CENTRAL STATION
15281.0,PA,HBW,drive,Walk,11.164,on,01-PROVO CENTRAL STATION
15312.0,PA,HBW,walk,Walk,7.704,on,01-PROVO CENTRAL STATION
15342.0,PA,HBW,drive,Walk,11.164,on,01-PROVO CENTRAL STATION
15347.0,PA,HBW,walk,Drive,7.704,on,01-PROVO CENTRAL STATION
15355.0,PA,HBW,walk,Walk,8.842,off,01-PROVO CENTRAL STATION
15385.0,PA,HBC,drive,Walk,10.012,off,01-PROVO CENTRAL STATION
15395.0,PA,HBW,drive,Walk,8.842,off,01-PROVO CENTRAL STATION
15399.0,PA,HBC,drive,Walk,8.842,off,01-PROVO CENTRAL STATION
15401.0,PA,HBC,drive,Walk,8.842,off,01-PROVO CENTRAL STATION
15406.0,PA,HBW,drive,Walk,7.671,off,01-PROVO CENTRAL STATION
15411.0,PA,HBC,drive,Walk,7.671,off,01-PROVO CENTRAL STATION
15415.0,PA,HBW,drive,Walk,8.842,off,01-PROVO CENTRAL STATION
15420.0,PA,HBC,drive,Walk,8.842,off,01-PROVO CENTRAL STATION
15428.0,PA,HBShp,walk,Drive,7.671,on,01-PROVO CENTRAL STATION
15433.0,PA,NHBNW,drive,Drive,8.842,on,01-PROVO CENTRAL STATION
15650.0,PA,HBOth,drive,Walk,6.409,on,01-PROVO CENTRAL STATION
15655.0,PA,NHBW,walk,Walk,6.409,off,01-PROVO CENTRAL STATION
15862.0,PA,HBC,drive,Walk,3.526,off,01-PROVO CENTRAL STATION
15890.0,PA,HBW,drive,Walk,11.164,on,01-PROVO CENTRAL STATION
15944.0,PA,HBW,drive,Walk,14.971,off,01-PROVO CENTRAL STATION
15952.0,PA,HBW,walk,Walk,10.012,off,01-PROVO CENTRAL STATION
15962.0,PA,HBW,drive,Walk,10.012,off,01-PROVO CENTRAL STATION
15976.0,PA,HBC,drive,Walk,5.799,off,01-PROVO CENTRAL STATION
15980.0,PA,HBC,walk,Walk,5.799,off,01-PROVO CENTRAL STATION
15986.0,PA,HBShp,drive,Walk,14.971,on,01-PROVO CENTRAL STATION
16196.0,PA,NHBNW,drive,Walk,2.284,on,01-PROVO CENTRAL STATION
16201.0,PA,HBW,drive,Walk,6.409,on,01-PROVO CENTRAL STATION
16209.0,PA,HBW,drive,Walk,6.409,on,01-PROVO CENTRAL STATION
16223.0,PA,HBOth,drive,Drive,2.284,on,01-PROVO CENTRAL STATION
16271.0,PA,HBW,drive,Walk,7.313,on,01-PROVO CENTRAL STATION
16284.0,PA,HBW,drive,Walk,7.313,on,01-PROVO CENTRAL STATION
16316.0,PA,HBW,walk,Walk,7.313,on,01-PROVO CENTRAL STATION
16431.0,PA,HBW,walk,Walk,11.164,on,01-PROVO CENTRAL STATION
16501.0,PA,HBW,drive,Walk,11.164,on,01-PROVO CENTRAL STATION
16512.0,PA,HBW,walk,Drive,11.164,on,01-PROVO CENTRAL STATION
16530.0,PA,HBW,walk,Walk,42.962,off,01-PROVO CENTRAL STATION
16553.0,PA,HBW,drive,Walk,14.971,on,01-PROVO CENTRAL STATION
16567.0,PA,HBC,drive,Walk,5.161,off,01-PROVO CENTRAL STATION
16914.0,PA,HBOth,drive,Walk,3.526,off,01-PROVO CENTRAL STATION
16920.0,PA,HBW,drive,Walk,7.313,on,01-PROVO CENTRAL STATION
16925.0,PA,HBOth,drive,Drive,14.273,off,01-PROVO CENTRAL STATION
16941.0,PA,HBW,drive,Walk,14.273,on,01-PROVO CENTRAL STATION
16945.0,PA,HBOth,walk,Walk,14.273,on,01-PROVO CENTRAL STATION
16965.0,PA,HBC,drive,Walk,14.514,off,01-PROVO CENTRAL STATION
16980.0,PA,NHBNW,drive,Walk,6.409,on,01-PROVO CENTRAL STATION
16989.0,PA,HBW,drive,Drive,4.073,off,01-PROVO CENTRAL STATION
17110.0,PA,HBW,drive,Walk,5.161,off,01-PROVO CENTRAL STATION
17185.0,PA,HBW,drive,Walk,7.578,off,01-PROVO CENTRAL STATION
17186.0,PA,HBC,drive,Walk,7.578,off,01-PROVO CENTRAL STATION
17190.0,PA,HBW,drive,Walk,50.665,off,01-PROVO CENTRAL STATION
17298.0,PA,HBC,walk,Walk,6.409,off,01-PROVO CENTRAL STATION
17302.0,PA,HBC,walk,Walk,6.409,off,01-PROVO CENTRAL STATION
17308.0,PA,HBOth,walk,Walk,6.409,on,01-PROVO CENTRAL STATION
17322.0,PA,HBC,drive,Walk,7.313,on,01-PROVO CENTRAL STATION
17341.0,PA,HBC,drive,Walk,7.313,on,01-PROVO CENTRAL STATION
17348.0,PA,HBC,walk,Walk,7.313,on,01-PROVO CENTRAL STATION
17355.0,PA,HBC,drive,Walk,7.313,on,01-PROVO CENTRAL STATION
17359.0,PA,HBC,drive,Walk,7.313,on,01-PROVO CENTRAL STATION
17362.0,PA,HBOth,walk,Drive,3.526,on,01-PROVO CENTRAL STATION
17366.0,PA,NHBNW,walk,Drive,7.313,off,01-PROVO CENTRAL STATION
17369.0,PA,HBC,drive,Walk,7.313,on,01-PROVO CENTRAL STATION
17370.0,PA,HBW,walk,Drive,19.557,on,01-PROVO CENTRAL STATION
17373.0,PA,HBW,drive,Walk,4.073,off,01-PROVO CENTRAL STATION
17391.0,PA,HBW,drive,Walk,14.514,off,01-PROVO CENTRAL STATION
17396.0,PA,HBW,drive,Walk,6.409,off,01-PROVO CENTRAL STATION
17400.0,PA,HBC,drive,Walk,6.409,off,01-PROVO CENTRAL STATION
17407.0,PA,HBW,drive,Walk,11.164,on,01-PROVO CENTRAL STATION
17419.0,PA,HBC,walk,Walk,12.048,on,01-PROVO CENTRAL STATION
17425.0,PA,HBW,walk,Walk,12.048,on,01-PROVO CENTRAL STATION
17436.0,PA,HBW,drive,Walk,7.704,on,01-PROVO CENTRAL STATION
17459.0,PA,HBW,drive,Walk,7.704,on,01-PROVO CENTRAL STATION
17460.0,PA,HBW,drive,Walk,7.704,on,01-PROVO CENTRAL STATION
17464.0,PA,HBW,drive,Walk,11.164,on,01-PROVO CENTRAL STATION
17465.0,PA,HBShp,drive,Drive,14.971,on,01-PROVO CENTRAL STATION
17472.0,PA,HBW,walk,Walk,7.704,on,01-PROVO CENTRAL STATION
17475.0,PA,HBW,drive,Walk,10.012,off,01-PROVO CENTRAL STATION
17480.0,PA,HBW,drive,Walk,10.012,off,01-PROVO CENTRAL STATION
17487.0,PA,HBC,drive,Walk,10.012,off,01-PROVO CENTRAL STATION
17491.0,PA,NHBNW,walk,Drive,10.012,on,01-PROVO CENTRAL STATION
17498.0,PA,NHBNW,walk,Drive,14.971,on,01-PROVO CENTRAL STATION
17506.0,PA,HBShp,drive,Walk,14.971,on,01-PROVO CENTRAL STATION
17520.0,PA,HBOth,walk,Drive,5.799,on,01-PROVO CENTRAL STATION
17542.0,PA,HBOth,walk,Walk,3.931,off,01-PROVO CENTRAL STATION
17555.0,PA,HBC,drive,Walk,11.164,on,01-PROVO CENTRAL STATION
17560.0,PA,HBC,walk,Walk,11.164,on,01-PROVO CENTRAL STATION
17578.0,PA,HBW,drive,Walk,18.228,on,01-PROVO CENTRAL STATION
17584.0,PA,HBC,drive,Walk,18.228,on,01-PROVO CENTRAL STATION
17588.0,PA,HBOth,walk,Drive,7.671,off,01-PROVO CENTRAL STATION
17600.0,PA,NHBW,drive,Drive,1.749,off,01-PROVO CENTRAL STATION
17601.0,PA,HBOth,drive,Drive,6.187,on,01-PROVO CENTRAL STATION
17609.0,PA,HBC,drive,Walk,8.842,off,01-PROVO CENTRAL STATION
17644.0,PA,HBC,drive,Drive,10.902,off,01-PROVO CENTRAL STATION
17647.0,PA,HBC,drive,Drive,7.578,off,01-PROVO CENTRAL STATION
17812.0,PA,HBC,walk,Drive,14.514,off,01-PROVO CENTRAL STATION
17819.0,PA,HBShp,drive,Walk,6.409,on,01-PROVO CENTRAL STATION
17821.0,PA,HBC,drive,Walk,2.284,off,01-PROVO CENTRAL STATION
17823.0,PA,HBW,walk,Walk,6.409,off,01-PROVO CENTRAL STATION
17826.0,PA,HBOth,walk,Walk,6.409,on,01-PROVO CENTRAL STATION
17829.0,PA,NHBNW,drive,Drive,4.073,on,01-PROVO CENTRAL STATION
17838.0,PA,HBC,drive,Walk,27.181,off,01-PROVO CENTRAL STATION
17946.0,PA,HBShp,walk,Drive,7.711,on,01-PROVO CENTRAL STATION
17978.0,PA,HBC,drive,Walk,3.931,off,01-PROVO CENTRAL STATION
17992.0,PA,HBOth,drive,Drive,1.749,on,01-PROVO CENTRAL STATION
17997.0,PA,HBOth,drive,Drive,7.711,on,01-PROVO CENTRAL STATION
18010.0,PA,NHBNW,walk,Walk,1.749,off,01-PROVO CENTRAL STATION
18405.0,PA,HBW,drive,Drive,1.749,on,01-PROVO CENTRAL STATION
18589.0,PA,HBOth,drive,Drive,7.313,on,01-PROVO CENTRAL STATION
18602.0,PA,HBW,drive,Walk,7.313,on,01-PROVO CENTRAL STATION
18607.0,PA,HBW,drive,Walk,7.313,on,01-PROVO CENTRAL STATION
18635.0,PA,NHBW,walk,Walk,7.313,off,01-PROVO CENTRAL STATION
18647.0,PA,HBC,drive,Walk,7.313,on,01-PROVO CENTRAL STATION
18651.0,PA,HBW,drive,Walk,7.313,on,01-PROVO CENTRAL STATION
18652.0,PA,HBC,walk,Walk,7.313,on,01-PROVO CENTRAL STATION
18654.0,PA,HBOth,walk,Drive,7.313,off,01-PROVO CENTRAL STATION
18655.0,PA,HBC,walk,Walk,7.313,off,01-PROVO CENTRAL STATION
