id,PA_AP,Purp7_text,AccessMode,Eg_Mode_Model,unlinked_weight_adj,onoff,station
1865.0,PA,HBC,drive,Drive,2.284,off,01-PROVO CENTRAL STATION
2105.0,PA,NHBW,drive,Drive,1.749,off,01-PROVO CENTRAL STATION
2144.0,PA,HBOth,walk,Drive,6.791,on,01-PROVO CENTRAL STATION
3267.0,PA,HBW,drive,Walk,10.902,off,01-PROVO CENTRAL STATION
3275.0,PA,HBC,drive,Walk,10.902,off,01-PROVO CENTRAL STATION
3289.0,PA,HBW,drive,Walk,36.765,on,01-PROVO CENTRAL STATION
3296.0,PA,HBW,walk,Walk,36.765,on,01-PROVO CENTRAL STATION
3298.0,PA,HBW,drive,Walk,13.903,on,01-PROVO CENTRAL STATION
4869.0,PA,HBW,walk,Walk,36.765,on,01-PROVO CENTRAL STATION
4886.0,PA,HBW,walk,Walk,13.903,on,01-PROVO CENTRAL STATION
4893.0,PA,HBC,walk,Walk,13.903,on,01-PROVO CENTRAL STATION
4900.0,PA,HBW,drive,Walk,13.903,on,01-PROVO CENTRAL STATION
5072.0,PA,HBW,drive,Walk,6.409,off,01-PROVO CENTRAL STATION
6722.0,PA,HBC,drive,Walk,5.194,off,01-PROVO CENTRAL STATION
6736.0,PA,HBOth,drive,Drive,7.578,on,01-PROVO CENTRAL STATION
6748.0,PA,NHBNW,walk,Walk,7.313,off,01-PROVO CENTRAL STATION
6784.0,PA,HBC,drive,Walk,27.181,on,01-PROVO CENTRAL STATION
6813.0,PA,HBW,drive,Drive,6.409,on,01-PROVO CENTRAL STATION
6816.0,PA,HBC,drive,Walk,6.409,on,01-PROVO CENTRAL STATION
6820.0,PA,HBC,drive,Walk,6.409,on,01-PROVO CENTRAL STATION
6828.0,PA,NHBNW,drive,Walk,6.409,on,01-PROVO CENTRAL STATION
6857.0,PA,NHBNW,drive,Walk,6.409,on,01-PROVO CENTRAL STATION
7165.0,PA,HBOth,drive,Drive,1.749,on,01-PROVO CENTRAL STATION
7260.0,PA,HBC,drive,Walk,5.194,off,01-PROVO CENTRAL STATION
7287.0,PA,NHBNW,drive,Walk,13.903,on,01-PROVO CENTRAL STATION
9025.0,PA,HBW,drive,Walk,13.903,on,01-PROVO CENTRAL STATION
9028.0,PA,HBW,drive,Walk,13.903,on,01-PROVO CENTRAL STATION
9058.0,PA,HBW,drive,Walk,13.903,on,01-PROVO CENTRAL STATION
9283.0,PA,HBC,drive,Drive,7.313,on,01-PROVO CENTRAL STATION
9302.0,PA,HBW,drive,Drive,7.313,on,01-PROVO CENTRAL STATION
9352.0,PA,HBOth,drive,Walk,4.073,off,01-PROVO CENTRAL STATION
9361.0,PA,HBOth,drive,Walk,6.409,on,01-PROVO CENTRAL STATION
9369.0,PA,NHBW,walk,Walk,6.409,off,01-PROVO CENTRAL STATION
9384.0,PA,HBOth,drive,Walk,6.409,on,01-PROVO CENTRAL STATION
9580.0,PA,HBW,drive,Walk,13.903,on,01-PROVO CENTRAL STATION
9581.0,PA,HBW,drive,Walk,13.903,on,01-PROVO CENTRAL STATION
9582.0,PA,HBW,drive,Walk,13.903,on,01-PROVO CENTRAL STATION
9583.0,PA,HBW,drive,Walk,13.903,on,01-PROVO CENTRAL STATION
9607.0,PA,HBW,drive,Walk,13.903,on,01-PROVO CENTRAL STATION
9685.0,PA,HBC,drive,Walk,5.194,off,01-PROVO CENTRAL STATION
9690.0,PA,HBOth,drive,Drive,6.791,off,01-PROVO CENTRAL STATION
9697.0,PA,HBW,drive,Walk,5.194,off,01-PROVO CENTRAL STATION
9705.0,PA,HBW,drive,Walk,7.578,off,01-PROVO CENTRAL STATION
9709.0,PA,HBC,drive,Walk,5.194,off,01-PROVO CENTRAL STATION
9717.0,PA,HBC,drive,Walk,7.578,off,01-PROVO CENTRAL STATION
9722.0,PA,HBW,drive,Walk,6.409,on,01-PROVO CENTRAL STATION
9758.0,PA,HBOth,drive,Walk,6.409,on,01-PROVO CENTRAL STATION
9766.0,PA,HBW,drive,Walk,6.409,on,01-PROVO CENTRAL STATION
9774.0,PA,HBC,walk,Walk,6.409,on,01-PROVO CENTRAL STATION
9781.0,PA,HBC,walk,Walk,6.409,on,01-PROVO CENTRAL STATION
9788.0,PA,HBOth,drive,Drive,4.073,on,01-PROVO CENTRAL STATION
9869.0,PA,HBShp,drive,Drive,14.273,on,01-PROVO CENTRAL STATION
10057.0,PA,HBW,drive,Walk,13.903,on,01-PROVO CENTRAL STATION
10058.0,PA,HBW,drive,Walk,13.903,on,01-PROVO CENTRAL STATION
10060.0,PA,HBW,drive,Drive,1.886,on,01-PROVO CENTRAL STATION
10063.0,PA,HBW,drive,Walk,13.903,on,01-PROVO CENTRAL STATION
10064.0,PA,HBW,drive,Walk,13.903,on,01-PROVO CENTRAL STATION
10066.0,PA,HBW,drive,Walk,7.578,off,01-PROVO CENTRAL STATION
10068.0,PA,HBW,drive,Drive,13.903,on,01-PROVO CENTRAL STATION
10074.0,PA,HBW,drive,Walk,13.903,on,01-PROVO CENTRAL STATION
10078.0,PA,HBC,drive,Walk,7.578,off,01-PROVO CENTRAL STATION
10079.0,PA,HBW,drive,Drive,7.578,off,01-PROVO CENTRAL STATION
10085.0,PA,HBW,drive,Walk,7.578,off,01-PROVO CENTRAL STATION
10091.0,PA,HBW,walk,Walk,7.578,off,01-PROVO CENTRAL STATION
10093.0,PA,HBW,walk,Walk,7.578,off,01-PROVO CENTRAL STATION
10229.0,PA,HBC,drive,Walk,10.902,off,01-PROVO CENTRAL STATION
10235.0,PA,HBW,drive,Walk,7.578,off,01-PROVO CENTRAL STATION
10247.0,PA,HBOth,walk,Walk,7.578,off,01-PROVO CENTRAL STATION
10291.0,PA,HBOth,drive,Walk,6.409,on,01-PROVO CENTRAL STATION
10297.0,PA,HBOth,drive,Walk,6.409,on,01-PROVO CENTRAL STATION
10305.0,PA,HBOth,walk,Walk,14.514,on,01-PROVO CENTRAL STATION
10328.0,PA,HBW,drive,Walk,6.409,on,01-PROVO CENTRAL STATION
10358.0,PA,NHBNW,drive,Walk,6.409,on,01-PROVO CENTRAL STATION
10403.0,PA,HBW,walk,Walk,6.409,off,01-PROVO CENTRAL STATION
10436.0,PA,HBW,drive,Walk,6.409,off,01-PROVO CENTRAL STATION
10437.0,PA,HBW,walk,Walk,14.273,on,01-PROVO CENTRAL STATION
10440.0,PA,HBC,walk,Walk,14.273,off,01-PROVO CENTRAL STATION
10443.0,PA,HBC,walk,Drive,27.181,on,01-PROVO CENTRAL STATION
10445.0,PA,HBC,walk,Walk,7.313,off,01-PROVO CENTRAL STATION
10446.0,PA,HBOth,drive,Walk,7.313,on,01-PROVO CENTRAL STATION
10457.0,PA,HBW,walk,Walk,6.409,off,01-PROVO CENTRAL STATION
10458.0,PA,HBW,walk,Walk,7.313,on,01-PROVO CENTRAL STATION
10461.0,PA,HBOth,walk,Drive,6.409,off,01-PROVO CENTRAL STATION
10465.0,PA,HBOth,drive,Drive,14.273,on,01-PROVO CENTRAL STATION
10489.0,PA,HBC,walk,Walk,7.313,on,01-PROVO CENTRAL STATION
10497.0,PA,HBC,walk,Walk,7.313,on,01-PROVO CENTRAL STATION
10674.0,PA,HBW,drive,Walk,2.036,off,01-PROVO CENTRAL STATION
10684.0,PA,HBW,drive,Walk,8.842,off,01-PROVO CENTRAL STATION
10686.0,PA,HBC,walk,Walk,7.671,off,01-PROVO CENTRAL STATION
10688.0,PA,HBC,drive,Walk,8.842,off,01-PROVO CENTRAL STATION
10690.0,PA,HBC,drive,Walk,46.575,off,01-PROVO CENTRAL STATION
10691.0,PA,NHBNW,walk,Drive,8.842,on,01-PROVO CENTRAL STATION
10693.0,PA,HBW,walk,Walk,8.842,off,01-PROVO CENTRAL STATION
10694.0,PA,HBOth,drive,Walk,7.671,on,01-PROVO CENTRAL STATION
10695.0,PA,HBOth,drive,Drive,8.842,on,01-PROVO CENTRAL STATION
10697.0,PA,HBOth,drive,Walk,7.671,off,01-PROVO CENTRAL STATION
10703.0,PA,HBC,drive,Walk,2.036,off,01-PROVO CENTRAL STATION
10835.0,PA,HBC,walk,Drive,10.902,off,01-PROVO CENTRAL STATION
10979.0,PA,HBC,drive,Walk,6.409,on,01-PROVO CENTRAL STATION
10982.0,PA,HBOth,drive,Drive,4.073,on,01-PROVO CENTRAL STATION
11104.0,PA,HBC,drive,Walk,3.526,off,01-PROVO CENTRAL STATION
11125.0,PA,HBC,drive,Walk,7.313,on,01-PROVO CENTRAL STATION
11129.0,PA,HBW,drive,Walk,11.164,on,01-PROVO CENTRAL STATION
11134.0,PA,HBW,drive,Drive,14.273,on,01-PROVO CENTRAL STATION
11136.0,PA,NHBNW,walk,Drive,3.526,off,01-PROVO CENTRAL STATION
11142.0,PA,HBC,drive,Walk,7.313,on,01-PROVO CENTRAL STATION
11143.0,PA,HBW,drive,Walk,14.273,on,01-PROVO CENTRAL STATION
11152.0,PA,HBOth,drive,Walk,7.313,on,01-PROVO CENTRAL STATION
11155.0,PA,HBC,drive,Walk,7.313,on,01-PROVO CENTRAL STATION
11159.0,PA,HBC,drive,Walk,7.313,on,01-PROVO CENTRAL STATION
11160.0,PA,HBOth,drive,Walk,14.273,on,01-PROVO CENTRAL STATION
11163.0,PA,HBW,drive,Walk,10.012,off,01-PROVO CENTRAL STATION
11175.0,PA,HBOth,drive,Walk,14.971,off,01-PROVO CENTRAL STATION
11176.0,PA,HBShp,walk,Drive,14.971,on,01-PROVO CENTRAL STATION
11180.0,PA,HBW,walk,Walk,14.971,off,01-PROVO CENTRAL STATION
11186.0,PA,HBOth,walk,Walk,10.012,on,01-PROVO CENTRAL STATION
11188.0,PA,HBOth,drive,Walk,14.971,off,01-PROVO CENTRAL STATION
11195.0,PA,HBOth,walk,Drive,3.931,on,01-PROVO CENTRAL STATION
11203.0,PA,HBW,walk,Drive,10.012,off,01-PROVO CENTRAL STATION
11221.0,PA,NHBNW,walk,Drive,14.971,on,01-PROVO CENTRAL STATION
11253.0,PA,HBOth,drive,Drive,5.799,on,01-PROVO CENTRAL STATION
11336.0,PA,HBC,drive,Walk,18.228,on,01-PROVO CENTRAL STATION
