Station,Source,Station_Sequence,Direction,Period,Boardings,Alightings,Board+Alight / 2
Farmington Station,OBS,05-Farmington Station,Southbound,1-AM Peak,178.23199,29.43218,103.83208499999999
Farmington Station,OBS,05-Farmington Station,Southbound,4-Evening,9.02824,4.903449999999999,6.965845
Farmington Station,OBS,05-Farmington Station,Southbound,2-Midday,61.32647,44.88416,53.105315000000004
Farmington Station,OBS,05-Farmington Station,Southbound,3-PM Peak,70.44574,32.042519999999996,51.24413
Layton Station,APC,04-Layton Station,Northbound,1-AM Peak,29.0,46.0,37.5
Layton Station,APC,04-Layton Station,Northbound,2-Midday,35.0,230.0,132.5
Layton Station,APC,04-Layton Station,Northbound,3-PM Peak,34.0,301.0,167.5
Layton Station,APC,04-Layton Station,Northbound,4-Evening,8.0,41.0,24.5
Layton Station,APC,04-Layton Station,Southbound,1-AM Peak,426.0,23.0,224.5
Layton Station,APC,04-Layton Station,Southbound,2-Midday,97.0,20.0,58.5
Layton Station,APC,04-Layton Station,Southbound,3-PM Peak,75.0,19.0,47.0
Layton Station,APC,04-Layton Station,Southbound,4-Evening,24.0,8.0,16.0
Layton Station,OBS,04-Layton Station,Northbound,1-AM Peak,13.4465,60.46888,36.95769
Layton Station,OBS,04-Layton Station,Northbound,4-Evening,7.10426,52.611760000000004,29.85801
Layton Station,OBS,04-Layton Station,Northbound,2-Midday,26.463029999999996,283.24305000000004,154.85304000000002
Layton Station,OBS,04-Layton Station,Northbound,3-PM Peak,50.54245,413.17266,231.857555
Layton Station,OBS,04-Layton Station,Southbound,1-AM Peak,446.20988,29.43218,237.82103
Layton Station,OBS,04-Layton Station,Southbound,4-Evening,41.70782,7.84552,24.77667
Layton Station,OBS,04-Layton Station,Southbound,2-Midday,133.07634000000002,16.83156,74.95395
Layton Station,OBS,04-Layton Station,Southbound,3-PM Peak,59.60307,21.36168,40.482375000000005
Lehi Station,APC,13-Lehi Station,Northbound,1-AM Peak,525.0,239.0,382.0
Lehi Station,APC,13-Lehi Station,Northbound,2-Midday,202.0,90.0,146.0
Lehi Station,APC,13-Lehi Station,Northbound,3-PM Peak,253.0,120.0,186.5
Lehi Station,APC,13-Lehi Station,Northbound,4-Evening,36.0,33.0,34.5
Lehi Station,APC,13-Lehi Station,Southbound,1-AM Peak,126.0,262.0,194.0
Lehi Station,APC,13-Lehi Station,Southbound,2-Midday,188.0,276.0,232.0
Lehi Station,APC,13-Lehi Station,Southbound,3-PM Peak,104.0,349.0,226.5
Lehi Station,APC,13-Lehi Station,Southbound,4-Evening,17.0,43.0,30.0
Lehi Station,OBS,13-Lehi Station,Northbound,1-AM Peak,517.18924,220.59168,368.89046
Lehi Station,OBS,13-Lehi Station,Northbound,4-Evening,34.87746,24.62061,29.749035
Lehi Station,OBS,13-Lehi Station,Northbound,2-Midday,264.40953,14.5142,139.46186500000002
Lehi Station,OBS,13-Lehi Station,Northbound,3-PM Peak,244.11969,80.09624,162.10796499999998
Lehi Station,OBS,13-Lehi Station,Southbound,1-AM Peak,54.51050000000001,338.16279000000003,196.33664500000003
Lehi Station,OBS,13-Lehi Station,Southbound,4-Evening,13.75746,41.39882,27.57814
