id,AcDist,EgDist
22,0.46365251,0.135150996
24,0.135150996,0.094819949
29,0.240937185,0.297984928
30,0.857521678,0.515520278
31,0.188626804,0.077211105
32,7.68,0.201375936
35,0.115277566,0.252457796
37,0.333761319,0.07449881
38,3.82,0.091972415
40,0.262525964,0.230422406
41,0.842595269,0.220298584
47,0.40797296,0.07773579
49,0.135150996,0.091972415
51,3.88,0.377670997
52,0.857521678,0.158469262
58,0.539256056,0.522132324
59,0.366801739,0.206572015
61,0.154714783,0.076044072
63,0.341648167,0.550443289
64,0.293046257,0.305190613
66,0.547771312,0.14796589
68,0.086239074,0.238653988
70,0.13285853,0.395170573
71,0.266717904,0.39796366
72,3.44,0.07773579
80,0.353888593,0.373169843
88,0.305211969,0.686330012
99,0.305211969,0.686330012
170,0.937876825,0.317952837
172,0.288369388,0.29111533
175,0.538666059,0.135150996
176,0.798156457,0.241672951
178,0.711152466,0.211377075
181,0.480850914,0.341912935
182,0.887675731,0.135150996
183,0.472836902,0.168576709
185,0.425968821,0.076044072
186,0.249350166,0.220298584
190,0.344690413,0.135150996
192,0.541335385,0.376731978
196,2.21,0.161953899
198,3.865793999,0.778348387
201,0.152508673,0.135150996
205,5.71,0.607401996
207,3.22,0.376731978
211,0.135150996,0.24318115
212,6.85,0.077211105
214,1.24,0.334325536
220,0.268821277,0.095402119
221,10.54,0.301401227
223,1.281666269,0.466273224
224,0.41693836,0.373169843
225,0.23894356,0.122500954
228,1.869973983,0.295980699
229,1.024103113,0.228514148
230,0.552805413,0.29841585
233,0.176110222,0.257896856
235,4.6,0.175014824
236,0.877498093,0.135150996
238,0.398943722,0.24318115
240,0.72298766,0.246401948
242,6.13,0.376731978
243,3.161716362,0.374273091
246,0.165170331,0.24318115
247,0.325055706,0.119734074
251,0.079020627,0.073383367
253,3.39,0.263661442
257,0.367441528,0.561770695
258,3.49,0.268703234
259,0.666255056,0.471155664
261,0.20660347,0.408271113
263,0.088176891,0.41936123
266,1.85,0.399861519
267,0.149908772,0.373169843
270,0.241026247,0.23522806
271,0.13876783,0.158653341
272,0.456795124,0.224530401
279,2.75,0.268703234
280,0.565948195,0.143590584
281,0.388223743,0.255593903
283,0.310428458,1.448707452
284,0.808836049,0.231117427
286,0.426845807,0.524020478
290,0.285026264,0.560251135
291,0.931306581,0.066738837
293,0.117193319,0.241672951
296,0.107307818,1.135741948
297,0.271409727,0.310621507
301,0.267195964,0.201375936
304,0.309386171,0.146489827
307,16.49,0.078525968
310,0.397906494,0.615544178
312,1.37,0.376731978
313,0.18148954,0.376731978
314,5.19,0.373169843
319,1.162499203,0.078525968
320,0.68,0.117146512
321,0.190414958,0.648474246
324,3.95,0.373169843
329,0.772028569,0.541170547
331,1.35,0.383694206
334,0.450462432,0.3748937
335,0.291317986,0.37902795
336,0.316817453,0.135150996
337,1.89,0.376731978
338,2.36,0.376731978
339,0.066251413,1.385687541
341,0.151131025,0.225463565
342,0.067136296,0.395170573
344,0.198376824,0.266717904
347,0.135150996,5.93
348,22.97,0.376731978
350,0.162050157,0.149908772
352,0.158424096,0.135150996
355,0.373169843,0.310929465
357,13,0.376731978
358,20.53751557,0.135150996
365,0.154445994,2.104029854
367,21.04,0.373169843
371,1.068568708,0.235266552
372,2.95,0.066738837
375,0.135150996,0.118484573
376,1.254712586,0.40896339
379,23.78,0.07773579
382,2.690722568,0.135150996
386,1.15,0.373169843
389,0.120868405,0.135150996
391,5.96,0.655818355
392,0.616224697,0.450462432
393,1.76,0.23369424
396,4.039629388,0.962552732
398,0.587663466,0.365972633
399,3.27,0.376731978
400,0.507410675,0.301401227
401,0.521130109,0.376731978
403,1.385687541,0.148533274
406,1.01,0.376731978
408,7.61,0.373169843
409,0.239908823,0.574935387
410,0.227979118,0.074474771
414,0.135150996,0.376731978
416,0.26772783,0.094688472
419,0.666255056,0.126103787
422,0.693379065,0.0823215
424,0.588076681,0.851134081
426,0.310621507,0.211015682
428,1.8,0.373169843
430,0.319311165,0.283137561
434,1.720294175,0.078525968
435,4.75,1.447120223
436,3.97,0.310621507
441,0.981588722,0.429042087
445,0.449251715,0.086239074
448,12.11,0.376731978
450,0.565984987,0.657710752
451,0.108031409,0.357847949
453,4.22,0.3748937
457,4.72,0.564389768
458,0.307119766,0.376731978
459,0.439239556,0.263661442
462,0.164356851,0.135150996
463,1.57,0.201375936
464,0.295980699,10.25627552
465,0.631204668,0.373169843
466,0.386973953,1.029646626
467,2.56,0.263661442
470,1.442739925,0.161849702
471,3.86,0.373169843
473,1.165961009,0.394019974
474,0.320798362,0.393176882
475,0.894291812,1.158599427
476,1.225157872,0.263661442
477,0.135150996,0.325055706
479,0.788462025,0.696910106
480,0.668041916,0.465273515
482,0.633489151,0.115699483
483,0.374770922,0.59344214
484,1.77,0.465273515
487,1.313111487,0.148533274
489,1.098484822,0.528413499
490,0.51001374,0.788533796
491,0.195128637,0.32836739
494,0.220862711,0.24318115
498,6.66,1.121477914
500,0.263455598,0.07773579
504,0.754281894,0.421244023
506,0.206572015,0.374777885
508,0.151252811,0.135150996
509,4.86,0.23522806
511,1.62,0.263661442
512,1.636803089,1.017220208
514,0.142025719,0.176254198
516,0.353888593,0.217550341
519,0.207917509,5.47
520,0.322503636,1.834490375
523,0.148533274,0.135150996
524,0.414076579,0.142025719
528,2.45,0.429042087
529,0.169622639,0.738660094
530,0.584553239,0.412125235
532,0.23894356,0.773938502
534,0.476743228,0.095949404
535,0.524347416,0.38659476
537,0.258674419,1.161434192
538,2.11,0.201375936
543,0.101170772,0.651957398
544,0.19250771,0.158469262
545,0.311793849,0.135150996
547,7.03,0.094688472
549,0.19243668,0.649678662
550,3.09,0.255826976
551,0.863413598,0.299534254
555,0.285004142,0.249516579
557,0.274199224,0.255325305
563,0.254056635,0.117146512
565,1.219989447,0.414561775
566,1.951131466,0.794145353
569,0.07079443,0.263661442
572,1.127075887,0.104720208
574,1.701949866,0.357847949
575,0.464488817,0.838572177
576,0.366801739,0.285831594
577,1.351502358,0.376434101
579,22.37028145,5.36766477
582,5.12,0.373169843
583,12.69,0.135150996
584,5.14,0.091972415
585,0.594385844,0.135150996
586,2.292462683,0.266717904
587,1.09,0.091849537
588,0.774562737,0.07773579
589,0.322529129,0.400852829
590,9.04,0.164124882
591,0.267688616,0.07773579
592,8.49,0.373169843
595,1.14,0.220862711
596,1.49,0.091849537
597,1.299306892,0.073383367
599,0.483811126,0.092337367
602,2.87,0.078525968
604,6.63,0.59193137
605,12.52,0.066738837
606,0.220968954,0.135150996
607,1.78,0.373169843
608,0.59,0.101170772
609,0.135150996,0.088176891
611,2.59,0.220862711
612,0.776401863,0.296312585
613,1.043274261,0.135150996
614,7.25,1.741747938
615,1.67,0.200171865
617,0.135150996,0.091849537
618,0.448348056,0.309605334
619,4.16,0.094819949
620,6.49,0.232727593
621,0.319879996,0.14796589
624,0.503380627,0.214764201
625,0.830833865,0.133825799
627,0.729705973,0.9752414
628,4.21686085,0.373169843
629,1.599212661,0.135150996
630,0.300497407,0.3748937
632,4.59,3.3
635,9.236906327,0.135150996
636,0.771615406,0.164124882
637,0.197039423,0.206572015
639,2.33,0.295980699
641,7.065704749,0.263661442
642,0.266717904,0.135150996
643,3.08,0.091849537
648,3.9,0.118877776
651,0.616224697,0.132718859
652,0.135150996,0.401404313
653,0.64,0.180886408
654,0.25079699,0.161889732
655,0.19250771,0.074474771
656,0.135150996,0.401404313
657,0.64,0.420636021
660,0.465273515,0.487418276
661,0.441379513,0.133825799
662,0.856356054,0.435770829
665,2.47,1.144734021
667,4.36,0.101170772
668,0.536208434,0.263661442
669,0.93,0.263661442
671,0.239741151,0.487418276
672,0.16732479,0.07773579
673,0.443955111,0.676761679
674,0.156305081,1.417238208
676,0.46,0.728298985
677,6.7,0.373169843
678,5.43,0.373169843
680,0.313503699,0.247681763
